catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,brightest,153,107556,,5,0,326.7595222,-16.12656594,84.27,0.19,261.7,-296.7,2.9409,0.18,HIP1,395.6232804070054,11.86662,0.0022546577,,0
hipparcos2,brightest,154,60965,,5,0,187.46659681,-16.51509405,37.55,0.16,-210.49,-138.74,2.9449,-0.012,HIP1,252.10082843973362,26.631159,0.004260985,,0
hipparcos2,brightest,155,85670,,5,0,262.60823689,52.30135886,8.58,0.1,-15.89,12.28,2.9466,0.954,HIP1,20.08209401432032,116.55012,0.011655012,,0
hipparcos2,brightest,156,30122,,5,0,95.07827961,-30.06337653,9.0,0.13,7.32,4.03,2.9524,-0.16,HIP1,8.356033748136733,111.111115,0.014444444,,0
hipparcos2,brightest,157,94141,,5,0,287.44097407,-21.02352539,6.4,0.43,-1.36,-36.45,2.9664,0.377,HIP1,36.47536291800262,156.25,0.0671875,,0
hipparcos2,brightest,158,25606,,5,0,82.06135954,-20.759232,20.34,0.18,-5.02,-86.01,2.9674,0.807,HIP1,86.15637237024318,49.164207,0.0088495575,,0
hipparcos2,brightest,159,17358,,15,3,55.7311752,47.78765317,6.32,0.47,25.58,-43.06,2.9703,-0.125,HIP1,50.08492787256462,158.22784,0.07436708,hip_solution_type_not_5,1
hipparcos2,brightest,160,108085,,1,1,328.48189257,-37.36482314,15.45,0.67,98.07,-13.22,2.9763,-0.084,HIP1,98.957027542262,64.72492,0.0433657,hip_solution_type_not_5,1
hipparcos2,brightest,161,62322,,15,3,191.57029068,-68.10809406,9.55,0.41,-41.97,-8.89,2.9789,-0.178,HIP1,42.901200449404676,104.712036,0.042931937,hip_solution_type_not_5,1
hipparcos2,brightest,162,90496,,5,0,276.99279012,-25.42124724,41.72,0.16,-44.76,-185.66,2.9838,1.025,HIP1,190.9793004490277,23.969318,0.003835091,,0
hipparcos2,brightest,163,85258,,7,0,261.32498802,-55.52982387,5.05,0.64,-8.51,-25.24,2.9935,1.479,HIP1,26.63602260098155,198.01979,0.12673266,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,164,93747,,5,0,286.35255155,13.86370954,39.28,0.16,-7.25,-95.56,2.9935,0.014,HIP1,95.83462891877862,25.45825,0.00407332,,0
hipparcos2,brightest,165,63608,,5,0,195.54483555,10.95910189,29.76,0.14,-273.8,19.96,2.998,0.934,HIP1,274.5265772197657,33.60215,0.0047043012,,0
hipparcos2,brightest,166,33977,,7,0,105.75613968,-23.83330108,1.18,0.4,-2.21,3.61,3.005,-0.077,HIP1,4.232753241094973,847.45764,0.33898306,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,167,110130,,75,4,334.62574143,-60.25949478,16.33,0.59,-70.72,-39.44,3.0103,1.39,HIP1,80.97426751752683,61.236988,0.03612982,hip_solution_type_not_5,1
hipparcos2,brightest,168,48002,,15,3,146.77557344,-65.07201887,2.27,0.28,-11.51,4.71,3.0186,0.273,HIP1,12.436406233313544,440.52863,0.12334802,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,169,106278,,5,0,322.88966964,-5.5711556,6.07,0.22,18.77,-8.21,3.0404,0.828,HIP1,20.486995875432786,164.74464,0.036243822,,0
hipparcos2,brightest,170,75097,,5,0,230.18228839,71.83397304,6.7,0.11,-17.73,17.9,3.0449,0.058,HIP1,25.194501384230648,149.25374,0.016417911,,0
hipparcos2,brightest,171,14328,,75,4,46.199126,53.50645015,13.41,0.51,0.51,-5.92,3.0586,0.716,HIP1,5.941927296761548,74.57121,0.03803132,hip_solution_type_not_5,1
hipparcos2,brightest,172,10064,,75,4,32.38550383,34.9873921,25.71,0.34,149.16,-39.1,3.0625,0.14,HIP1,154.19959662722857,38.895374,0.013224427,hip_solution_type_not_5,1
hipparcos2,brightest,173,73334,,55,3,224.79041163,-42.10414165,8.51,0.54,-17.62,-22.51,3.0671,-0.208,HIP1,28.586089274330618,117.50881,0.06345476,hip_solution_type_not_5,1
hipparcos2,brightest,174,18543,,7,0,59.50720838,-13.50824446,16.04,0.58,61.57,-113.11,3.0703,1.588,HIP1,128.78174171830415,62.344135,0.036159597,hip_solution_type_not_5,1
hipparcos2,brightest,175,112158,,75,4,340.75053559,30.22130744,15.22,0.71,13.16,-25.67,3.0897,0.852,HIP1,28.846741583756042,65.70302,0.046649143,hip_solution_type_not_5,1
hipparcos2,brightest,176,71075,P,5,0,218.01982423,38.30788378,37.58,0.14,-115.71,151.16,3.098,0.191,HIP1,190.36320469040228,26.609898,0.0037253858,hip_component_flag,1
hipparcos2,brightest,177,56561,,7,0,173.94553439,-63.01982482,7.77,0.34,-33.41,-7.08,3.1068,-0.044,HIP1,34.15193259538909,128.70013,0.043758046,hip_solution_type_not_5,1
hipparcos2,brightest,178,32768,,75,4,102.48390363,-50.61439971,17.92,0.4,34.36,-69.11,3.1077,1.207,HIP1,77.18031938259908,55.80357,0.02232143,hip_solution_type_not_5,1
hipparcos2,brightest,179,109074,,5,0,331.44593869,-0.31982628,6.23,0.19,18.25,-9.39,3.108,0.969,HIP1,20.52400058468134,160.51364,0.030497592,,0
hipparcos2,brightest,180,87073,,5,0,266.89617134,-40.12698187,1.69,0.15,0.01,-6.24,3.1092,0.509,HIP1,6.240008012815369,591.71594,0.088757396,,0
hipparcos2,brightest,181,23767,,5,0,76.62862074,41.23464072,13.4,0.2,31.45,-67.87,3.116,-0.148,HIP1,74.80266973845252,74.62687,0.014925374,,0
hipparcos2,brightest,182,47908,,5,0,146.46292656,23.77427817,13.22,0.15,-45.61,-9.21,3.1168,0.808,HIP1,46.53059423648058,75.64297,0.011346445,,0
