catalog,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count,cohorts,cohort_ranks,official_best_gaia_ids,has_official_best_neighbour,fis_supplemental_gaia_ids,has_fis_supplemental_match,any_gaia_hip_gaia_ids,has_any_gaia_hip_match,official_neighbourhood_gaia_ids
hipparcos2,89962,,5,0,275.32883536,-2.89712199,53.93,0.18,-547.75,-701.42,3.3995,0.941,HIP1,889.9550993729964,18.542555,0.00333766,,0,brightest;high_pm,brightest:246;high_pm:267,4269932382607207040,True,,False,4269932382607207040,True,4269932382607207040
hipparcos2,90139,,5,0,275.92402824,21.77034241,27.42,0.4,195.79,-242.98,4.0052,1.168,HIP1,312.0464781086305,36.46973,0.014587892,,0,brightest,brightest:485,4529285391533766400,True,,False,4529285391533766400,True,4529285391533766400
hipparcos2,90185,,5,0,276.04310945,-34.38431461,22.76,0.24,-39.42,-124.2,1.7986,-0.031,HIP1,130.30570363571965,43.93673,0.010544815,,0,brightest,brightest:35,,False,,False,,False,
hipparcos2,90306,,5,0,276.38327298,38.3553295,40.35,1.84,-77.08,-744.0,11.3652,1.442,HIP1,747.9821698409662,24.783148,0.045600995,,0,high_pm,high_pm:411,2108544241842459648,True,,False,2108544241842459648,True,2108544241842459648
hipparcos2,90422,,5,0,276.74345944,-45.96832923,11.74,0.17,-16.95,-53.09,3.4234,-0.179,HIP1,55.73015880113747,85.17888,0.014480409,,0,brightest,brightest:251,6709267613942522496,True,,False,6709267613942522496,True,6709267613942522496
hipparcos2,90496,,5,0,276.99279012,-25.42124724,41.72,0.16,-44.76,-185.66,2.9838,1.025,HIP1,190.9793004490277,23.969318,0.003835091,,0,brightest,brightest:162,4076915349846977664,True,,False,4076915349846977664,True,4076915349846977664
hipparcos2,90790,,5,0,277.82935912,-18.90833877,75.46,0.7,-138.73,-195.99,6.9526,0.861,HIP1,240.12099658297274,13.252054,0.009276438,,0,nearest,nearest:363,4093301474693288960,True,,False,4093301474693288960,True,4093301474693288960
hipparcos2,91117,,5,0,278.8018241,-8.24330822,16.38,0.22,-17.0,-313.52,4.0071,1.317,HIP1,313.9805573598467,61.050064,0.0134310145,,0,brightest,brightest:486,4156500578347841408,True,,False,4156500578347841408,True,4156500578347841408
hipparcos2,91438,,5,0,279.72269683,-21.05150189,76.43,0.47,-74.85,-152.0,5.9841,0.673,HIP1,169.42999291742888,13.083867,0.0061494177,,0,nearest,nearest:350,4079684229322231040,True,,False,4079684229322231040,True,4079684229322231040
hipparcos2,91699,,5,0,280.49684066,31.83046927,87.36,2.66,-302.08,8.55,11.3174,1.579,HIP1,302.2009743531612,11.446886,0.030448718,,0,nearest,nearest:265,2090085056523454464,True,,False,2090085056523454464,True,2090085056523454464
hipparcos2,92041,,5,0,281.41397072,-26.9907792,13.63,0.19,50.61,1.22,3.1339,-0.107,HIP1,50.62470246826148,73.36757,0.013939838,,0,brightest,brightest:183,4072953671943400832,True,,False,4072953671943400832,True,4072953671943400832
hipparcos2,92200,,5,0,281.86386611,-3.63916575,70.04,1.17,-131.76,-275.09,8.9218,1.295,HIP1,305.01673019688604,14.277555,0.01670474,,0,nearest,nearest:429,4258375617747092864,True,,False,4258375617747092864,True,4258375617747092864
hipparcos2,92403,,5,0,282.45398294,-23.83576453,336.72,2.03,637.02,-191.64,10.4124,1.51,HIP1,665.2220456358914,2.9698265,0.0060287477,,0,nearest,nearest:7,4075141768785646848,True,,False,4075141768785646848,True,4075141768785646848
hipparcos2,92855,,5,0,283.81631936,-26.29659425,14.32,0.29,15.14,-53.43,2.0095,-0.134,HIP1,55.53363395276776,69.832405,0.020251397,,0,brightest,brightest:48,,False,,False,,False,
hipparcos2,92862,,5,0,283.83368822,43.94589263,10.94,0.12,21.05,82.06,3.9348,1.397,HIP1,84.71685841672837,91.407684,0.010968922,,0,brightest,brightest:448,2106630885454013184,True,,False,2106630885454013184,True,2106630885454013184
hipparcos2,92871,,5,0,283.86398499,8.40267573,84.94,1.72,91.71,-69.59,10.1476,1.539,HIP1,115.12381248030313,11.773016,0.020249588,,0,nearest,nearest:280,4310275491469537152,True,,False,4310275491469537152,True,4310275491469537152
hipparcos2,93101,,5,0,284.50104796,5.91108986,91.68,1.54,-196.11,-1222.54,9.3027,1.444,HIP1,1238.1692871736077,10.907504,0.016797556,,0,high_pm;nearest,high_pm:134;nearest:231,4282578724832056576,True,,False,4282578724832056576,True,4282578724832056576
hipparcos2,93206,,5,0,284.7805218,-48.27326539,70.95,2.56,153.46,-495.17,11.1678,1.446,HIP1,518.4045722213492,14.094433,0.03608175,,0,nearest,nearest:414,6662167868705713664,True,,False,6662167868705713664,True,6662167868705713664
hipparcos2,93683,,5,0,286.1705576,-21.74135444,22.96,0.24,76.35,-58.12,3.9215,1.011,HIP1,95.95445221562154,43.55401,0.010452962,,0,brightest,brightest:438,4081642115877635840,True,,False,4081642115877635840,True,4081642115877635840
hipparcos2,93747,,5,0,286.35255155,13.86370954,39.28,0.16,-7.25,-95.56,2.9935,0.014,HIP1,95.83462891877862,25.45825,0.00407332,,0,brightest,brightest:164,4314399312979641728,True,,False,4314399312979641728,True,4314399312979641728
