catalog,source_id,cohorts,cohort_ranks,quality_flags,quality_flag_count,pm_total_masyr,r_pc_parallax,parallax_frac_error,phot_g_mean_mag,ruwe,duplicated_source,non_single_star,official_best_hip_ids,fis_supplemental_hip_ids,any_gaia_hip_hip_ids,has_fis_supplemental_match,has_any_gaia_hip_match,official_neighbourhood_hip_ids,Hpmag,Sn,n_HIP,official_best_gaia_ids,fis_supplemental_gaia_ids,any_gaia_hip_gaia_ids,official_neighbourhood_gaia_ids
gaia_dr3,2720428303852574336,brightest,brightest:323,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,3.516526,,False,0.0,,109427,109427,True,True,,,,,,,,
gaia_dr3,2816504901198512768,brightest,brightest:51,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,2.5036576,,False,0.0,,113963,113963,True,True,,,,,,,,
gaia_dr3,2853900872207888768,high_pm,high_pm:403,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1183.1028422421289,12.318451375970275,0.005530473283544745,5.5958757,8.978972,False,0.0,,171,171,True,True,,,,,,,,
gaia_dr3,2921635736292220800,brightest,brightest:160,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,4.03054818511052,1147.460661493672,0.38089417363502476,3.0407002,3.6187544,False,0.0,33977,,33977,False,True,33977,,,,,,,
gaia_dr3,2947050466531873024,nearest,nearest:5,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1024.3990768199035,2.6703012063129745,0.0006177333316242286,8.524133,2.4190555,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,2968097043228517120,brightest,brightest:68,ruwe_gt_1p4;astrometric_excess_noise_gt_1;duplicated_source,3,83.84707718501404,47.91627903842823,0.009809508012161001,2.627176,3.276878,True,0.0,,,,False,False,,,,,,,,
gaia_dr3,2971266110612490624,brightest,brightest:59,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,3.6769624679510304,594.6294697520444,0.16659148671606527,2.5535128,3.897747,False,0.0,25985,,25985,False,True,25985,,,,,,,
gaia_dr3,3011968416163350272,brightest,brightest:10,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,2.0778263,,False,0.0,27366,,27366,False,True,27366,,,,,,,
gaia_dr3,3017190546641718144,brightest,brightest:93,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,3.285563430860139,500.7847726657636,0.36552826919548587,2.7408419,8.202417,False,0.0,,26241,26241,True,True,,,,,,,,
gaia_dr3,3143264535611892096,brightest,brightest:117,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,2.856039,,False,0.0,,36188,36188,True,True,,,,,,,,
gaia_dr3,3171631420210205056,nearest,nearest:370,ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,3,353.4679270227566,10.603846175186044,0.002225231797313294,14.606592,5.617265,False,1.0,,,,False,False,,,,,,,,
gaia_dr3,3174163561130003840,brightest,brightest:368,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,172.73343971155663,34.6297163736682,0.005820677872877253,3.601026,2.530443,False,0.0,,21594,21594,True,True,,,,,,,,
gaia_dr3,3220756843825383936,brightest,brightest:24,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,2.2487726,,False,0.0,25930,,25930,False,True,25930,,,,,,,
gaia_dr3,3337991583943473280,brightest,brightest:328,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,4.303253259358756,385.5683620045996,0.1554656336963851,3.528103,4.8226757,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,3366754155291545344,brightest,brightest:339,ruwe_gt_1p4;astrometric_excess_noise_gt_1;phot_variable,3,7.795448446364069,325.4241186374572,0.070859704605008,3.5395133,2.778016,False,0.0,34088,,34088,False,True,34088,,,,,,,
gaia_dr3,3377072212924335488,brightest,brightest:26,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,,,,2.2620378,,False,0.0,,29655,29655,True,True,,,,,,,,
gaia_dr3,3377166289889430656,brightest,brightest:4,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,1.8813683,,False,0.0,,30343,30343,True,True,,,,,,,,
gaia_dr3,3458053271535395712,brightest,brightest:399,ruwe_gt_1p4;astrometric_excess_noise_gt_1;duplicated_source,3,7.989909539844791,61.952640582860674,0.027428147296985155,3.6593385,10.106313,True,0.0,,,,False,False,,,,,,,,
gaia_dr3,3490322803937287680,brightest,brightest:442,ruwe_gt_1p4;astrometric_excess_noise_gt_1;phot_variable,3,36.55746279538915,143.3295851259741,0.03586540685469749,3.7452638,1.5868297,False,0.0,57613,,57613,False,True,57613,,,,,,,
gaia_dr3,3683687763520080256,brightest,brightest:268,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,3.3912315,,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,3762231926405726720,high_pm,high_pm:86,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,2009.0381809703551,12.195040750085562,0.0034814092509882185,13.204992,12.9937935,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,3870025847369674624,brightest,brightest:499,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,7.156623956840013,628.4280783950838,0.1970092915505872,3.8256657,2.456906,False,0.0,51624,,51624,False,True,51624,,,,,,,
gaia_dr3,3902874650601954816,nearest;high_pm,nearest:36;high_pm:132,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1722.4831829298212,4.474723930280812,0.00208727314324667,11.240162,13.949631,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,3902874650602495232,nearest;high_pm,nearest:33;high_pm:108,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1808.8200397907397,4.326784785759761,0.0022147101798940783,11.235116,6.116347,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,3990320597065899776,brightest,brightest:63,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,2.5716317,,False,0.0,,54872,54872,True,True,,,,,,,,
