catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,high_pm,428,32919,,5,0,102.88585457,47.36950307,53.89,0.98,-246.12,-692.81,9.0709,1.232,HIP1,735.2283662237196,18.556318,0.018185193,,0
hipparcos2,high_pm,429,56244,,5,0,172.94611843,-41.04685446,96.56,2.39,-714.46,170.94,11.4712,1.635,HIP1,734.6247853156059,10.356256,0.02475145,,0
hipparcos2,high_pm,430,68933,,5,0,211.67218593,-36.36869558,55.45,0.2,-520.53,-518.06,2.2226,1.011,HIP1,734.3961087179043,18.034266,0.003606853,,0
hipparcos2,high_pm,431,58412,,15,3,179.64953752,59.55616433,24.99,3.54,-734.31,-8.37,11.1371,1.34,HIP1,734.3577009877407,40.016006,0.14165667,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,high_pm,432,50341,,5,0,154.19248924,-11.96031009,73.3,2.62,-419.8,-602.45,11.0125,1.506,HIP1,734.2874386097042,13.642564,0.035743516,,0
hipparcos2,high_pm,433,23437,,5,0,75.57128052,-56.08231507,44.48,0.36,-45.43,731.74,7.1536,0.636,HIP1,733.1489019974047,22.482014,0.008093526,,0
hipparcos2,high_pm,434,46488,,5,0,142.22259296,-7.36932182,61.58,3.98,-168.04,-713.14,12.1649,1.512,HIP1,732.6705270447284,16.239038,0.06463137,,0
hipparcos2,high_pm,435,3185,,5,0,10.13501595,-23.80399322,34.62,0.45,635.18,-363.56,6.2788,0.718,HIP1,731.8671368493054,28.885038,0.012998267,,0
hipparcos2,high_pm,436,74477,,5,0,228.27599407,-21.97739812,16.81,2.72,-725.57,-77.23,11.4009,1.25,HIP1,729.6686219099737,59.488403,0.16180846,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,437,10617,,5,0,34.16971589,-30.98900088,69.81,3.1,683.07,250.88,12.0117,1.583,HIP1,727.6849588249025,14.324595,0.044406246,,0
hipparcos2,high_pm,438,29295,,5,0,92.64458957,-21.86290756,173.81,0.99,-137.09,-713.66,8.1993,1.487,HIP1,726.7078255392603,5.753409,0.005695875,,0
hipparcos2,high_pm,439,66315,,5,2,203.86984363,46.55994491,26.03,2.38,464.07,-558.85,10.9805,1.039,HIP1,726.4119268018663,38.41721,0.09143297,,0
hipparcos2,high_pm,440,58321,,5,0,179.38837136,11.8271595,41.35,2.81,-683.93,238.97,11.8799,1.46,HIP1,724.4769877642767,24.183798,0.06795647,,0
hipparcos2,high_pm,441,51933,,5,0,159.13426126,-12.22848685,39.88,0.37,268.46,-672.57,5.8223,0.528,HIP1,724.1693009925235,25.075226,0.009277834,,0
hipparcos2,high_pm,442,15366,,5,0,49.52978835,38.25345781,60.5,2.2,444.95,-570.94,10.3288,1.449,HIP1,723.8459684905346,16.528925,0.03636364,,0
hipparcos2,high_pm,443,52186,,5,0,159.92077451,-6.92349587,60.8,3.14,-714.67,-109.03,11.3224,1.503,HIP1,722.9389668568156,16.447369,0.05164474,,0
hipparcos2,high_pm,444,38956,G,5,2,119.55222327,41.30537001,116.06,3.67,211.27,-691.29,11.9947,1.618,HIP1,722.8532887107867,8.616233,0.031621575,hip_component_flag,1
hipparcos2,high_pm,445,17147,,5,0,55.09025617,-3.21646076,39.12,0.56,689.15,-213.18,6.8016,0.554,HIP1,721.3691391375154,25.562372,0.014314929,,0
hipparcos2,high_pm,446,62809,,5,0,193.0515498,-56.57390795,20.67,1.04,-686.92,-220.01,8.6154,0.616,HIP1,721.2929269721144,48.379295,0.050314464,,0
hipparcos2,high_pm,447,60343,,5,0,185.59049992,25.17045532,33.43,2.49,-692.78,-200.19,11.4,1.35,HIP1,721.1242365223901,29.913252,0.074484,,0
hipparcos2,high_pm,448,47620,,5,2,145.649954,70.03453847,81.37,1.77,-668.54,-268.64,10.5835,1.463,HIP1,720.4950945009965,12.289541,0.021752488,,0
hipparcos2,high_pm,449,104644,,5,0,317.95581235,-43.61197316,67.55,3.74,211.38,-688.68,12.0902,1.586,HIP1,720.3899269145842,14.803848,0.055366393,,0
hipparcos2,high_pm,450,79394,G,1,2,243.04947055,5.49292836,7.32,3.86,-355.13,-625.54,11.9722,0.975,HIP1,719.3174601662329,136.61201,0.52732235,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,high_pm,451,103150,,5,0,313.48889829,-2.76502449,29.22,2.05,-616.1,-370.18,11.1737,1.275,HIP1,718.7575685862375,34.223137,0.07015742,,0
hipparcos2,high_pm,452,81170,,5,0,248.6767988,-4.22735941,22.17,1.35,-133.03,-706.08,9.7373,0.736,HIP1,718.502572925108,45.106,0.0608931,,0
